iso_code,vaccine_name
MAR,Sputnik V
MOZ,Johnson&Johnson
MOZ,Oxford/AstraZeneca
MOZ,Sinopharm/Beijing
MMR,Oxford/AstraZeneca
MMR,Sinopharm/Beijing
NAM,Johnson&Johnson
NAM,Oxford/AstraZeneca
NAM,Pfizer/BioNTech
NAM,Sinopharm/Beijing
NRU,Oxford/AstraZeneca
NPL,Covaxin
NPL,Johnson&Johnson
NPL,Moderna
NPL,Oxford/AstraZeneca
NPL,Pfizer/BioNTech
NPL,Sinopharm/Beijing
NPL,Sputnik V
NLD,Johnson&Johnson
NLD,Moderna
NLD,Novavax
NLD,Oxford/AstraZeneca
NLD,Pfizer/BioNTech
NCL,Pfizer/BioNTech
NZL,Novavax
NZL,Oxford/AstraZeneca
NZL,Pfizer/BioNTech
NIC,Abdala
NIC,Johnson&Johnson
NIC,Moderna
NIC,Oxford/AstraZeneca
NIC,Pfizer/BioNTech
NIC,Sinopharm/Beijing
NIC,Soberana02
NIC,Sputnik Light
NIC,Sputnik V
NER,Oxford/AstraZeneca
NER,Sinopharm/Beijing
NGA,Oxford/AstraZeneca
NIU,Pfizer/BioNTech
MKD,Moderna
MKD,Oxford/AstraZeneca
MKD,Pfizer/BioNTech
MKD,Sinopharm/Beijing
MKD,Sinopharm/Wuhan
MKD,Sinovac
MKD,Sputnik V
OWID_CYN,Oxford/AstraZeneca
OWID_CYN,Pfizer/BioNTech
OWID_CYN,Sinovac
OWID_NIR,Moderna
OWID_NIR,Oxford/AstraZeneca
OWID_NIR,Pfizer/BioNTech
NOR,Moderna
NOR,Pfizer/BioNTech
OMN,CanSino
OMN,Covaxin
OMN,Johnson&Johnson
OMN,Moderna
OMN,Oxford/AstraZeneca
OMN,Pfizer/BioNTech
OMN,Sinopharm/Beijing
OMN,Sinovac
OMN,Sputnik Light
OMN,Sputnik V
PAK,CanSino
PAK,Covaxin
PAK,Johnson&Johnson
PAK,Moderna
PAK,Oxford/AstraZeneca
PAK,Pfizer/BioNTech
PAK,Sinopharm/Beijing
PAK,Sinovac
PAK,Sputnik Light
PAK,Sputnik V
PSE,CanSino
PSE,Covaxin
PSE,Johnson&Johnson
PSE,Moderna
PSE,Oxford/AstraZeneca
PSE,Pfizer/BioNTech
PSE,Sinopharm/Beijing
PSE,Sinovac
PSE,Sputnik Light
PSE,Sputnik V
PAN,Oxford/AstraZeneca
PAN,Pfizer/BioNTech
PNG,Oxford/AstraZeneca
PRY,Covaxin
PRY,Moderna
PRY,Oxford/AstraZeneca
PRY,Pfizer/BioNTech
PRY,Sinopharm/Beijing
PRY,Sinovac
PRY,Sputnik V
PER,Moderna
PER,Oxford/AstraZeneca
PER,Pfizer/BioNTech
PER,Sinopharm/Beijing
PHL,Covaxin
PHL,Johnson&Johnson
PHL,Moderna
PHL,Novavax
PHL,Oxford/AstraZeneca
PHL,Pfizer/BioNTech
PHL,Sinopharm/Beijing
PHL,Sinovac
PHL,Sputnik Light
PHL,Sputnik V
PCN,Oxford/AstraZeneca
POL,Johnson&Johnson
POL,Moderna
POL,Novavax
POL,Oxford/AstraZeneca
POL,Pfizer/BioNTech
PRT,Covaxin
PRT,Johnson&Johnson
PRT,Moderna
PRT,Novavax
PRT,Oxford/AstraZeneca
PRT,Pfizer/BioNTech
PRT,Sanofi/GSK
PRT,Sinopharm/Beijing
PRT,Sinovac
QAT,CanSino
QAT,Covaxin
QAT,Johnson&Johnson
QAT,Moderna
QAT,Oxford/AstraZeneca
QAT,Pfizer/BioNTech
QAT,Sinopharm/Beijing
QAT,Sinovac
QAT,Sputnik Light
QAT,Sputnik V
ROU,Johnson&Johnson
ROU,Moderna
